"","cemented","uncemented","hybrid","reverse_hybrid"
"Total costs",1273.54460526093,2720.62068018985,2007.51466151857,1888.79423342362
"Total QALYs",7.00521080414641,7.02774997856927,7.01840614854717,7.01442875481646
"Total costs undiscounted",1487.51570862111,2860.22098507737,2178.13997817686,2072.54276760627
"Total QALYs undiscounted",9.3157187225448,9.35279572097476,9.33740943396268,9.33086665747128
"Net benefit at GBP20000/QALY",138830.671477667,137834.378891195,138360.608309425,138399.780862906
"Net benefit at GBP30000/QALY",208882.779519131,208111.878676888,208544.669794897,208544.06841107
"ICER",NA,64202.7098145007,55623.4103457967,66744.7299497601
"Incremental costs",0,1447.07607492891,733.970056257633,615.249628162686
"Incremental QALYs",0,0.022539174422854,0.0131953444007609,0.00921795067004982
"INB at GBP20000/QALY",0,-996.292586471833,-470.063168242415,-430.890614761689
"INB at GBP30000/QALY",0,-770.900842243293,-338.109724234807,-338.711108061191
